name,neighborhood,variety,neighbors,left_neighbor,right_neighbor,inhabitants,stable,sealed,clues,gate,gate_to,explored,closed,special_encounter,guaranteed_resource,possible_resource,,,,,,
CURIOSITIE SHOPPE,NORTHSIDE,LOCATION,NORTHSIDE STREETS,NORTHISDE STREETS,NORTHISDE STREETS,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Shop: Instead of having an encounter here, you may draw 3 Unique Items and purchase one of them for its list price. Discard the other two items.",unique items,common items,,,LOCATION,NORTHSIDE STREETS,NORTHISDE STREETS,NORTHISDE STREETS
NEWSPAPER,NORTHSIDE,LOCATION,NORTHSIDE STREETS,NORTHISDE STREETS,NORTHISDE STREETS,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,"money, clues",,,LOCATION,NORTHSIDE STREETS,NORTHISDE STREETS,NORTHISDE STREETS
TRAIN STATION,NORTHSIDE,LOCATION,NORTHSIDE STREETS,NORTHISDE STREETS,NORTHISDE STREETS,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,"common items, unique items",,,LOCATION,NORTHSIDE STREETS,NORTHISDE STREETS,NORTHISDE STREETS
ARKHAM ASYLUM,DOWNTOWN,LOCATION,DOWNTOWN STREETS,DOWNTOWN STREETS,DOWNTOWN STREETS,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Psychiatric Care: Instead of having an encounter here, you may recover Sanity by receiving psychiatric care. You may either regain 1 Sanity for free, or pay $2 to restore your Sanity to its maximum value.",sanitty,common items,,,LOCATION,DOWNTOWN STREETS,DOWNTOWN STREETS,DOWNTOWN STREETS
BANK OF ARKHAM,DOWNTOWN,LOCATION,DOWNTOWN STREETS,DOWNTOWN STREETS,DOWNTOWN STREETS,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Bank Loan: Instead of having an encounter here, you may take out a Bank Loan if you don't have one yet",money,blessing,,,LOCATION,DOWNTOWN STREETS,DOWNTOWN STREETS,DOWNTOWN STREETS
INDEPENDENCE SQUARE,DOWNTOWN,LOCATION,DOWNTOWN STREETS,DOWNTOWN STREETS,DOWNTOWN STREETS,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"common items, unique items",,,LOCATION,DOWNTOWN STREETS,DOWNTOWN STREETS,DOWNTOWN STREETS
HIBB'S ROADHOUSE,EASTTOWN,LOCATION,EASTTOWN STREETS,EASTTOWN STREETS,EASTTOWN STREETS,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"money, common items",,,LOCATION,EASTTOWN STREETS,EASTTOWN STREETS,EASTTOWN STREETS
POLICE STATION,EASTTOWN,LOCATION,EASTTOWN STREETS,EASTTOWN STREETS,EASTTOWN STREETS,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,"common items, clues",,,LOCATION,EASTTOWN STREETS,EASTTOWN STREETS,EASTTOWN STREETS
JAIL CELL,EASTTOWN,LOCATION,POLICE STATION,null,null,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,null,,,LOCATION,POLICE STATION,NULL,NULL
VELMA'S DINER,EASTTOWN,LOCATION,EASTTOWN STREETS,EASTTOWN STREETS,EASTTOWN STREETS,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,"money, stamina",,,LOCATION,EASTTOWN STREETS,EASTTOWN STREETS,EASTTOWN STREETS
