name,neighborhood,variety,neighbors,left_neighbor,right_neighbor,inhabitants,stable,sealed,clues,gate,gate_to,explored,closed,special_encounter,guaranteed_resource,possible_resource
Curiositie Shoppe,Northside,Location,Northside Streets,Northisde Streets,Northisde Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Shop: Instead of having an encounter here, you may draw 3 Unique Items and purchase one of them for its list price. Discard the other two items.",unique items,common items
Newspaper,Northside,Location,Northside Streets,Northisde Streets,Northisde Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,"money, clues"
Train Station,Northside,Location,Northside Streets,Northisde Streets,Northisde Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,"common items, unique items"
Arkham Asylum,Downtown,Location,Downtown Streets,Downtown Streets,Downtown Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Psychiatric Care: Instead of having an encounter here, you may recover Sanity by receiving psychiatric care. You may either regain 1 Sanity for free, or pay $2 to restore your Sanity to its maximum value.",sanitty,common items
Bank of Arkham,Downtown,Location,Downtown Streets,Downtown Streets,Downtown Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Bank Loan: Instead of having an encounter here, you may take out a Bank Loan if you don't have one yet",money,blessing
Independence Square,Downtown,Location,Downtown Streets,Downtown Streets,Downtown Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"common items, unique items"
Hibb's Roadhouse,Easttown,Location,Easttown Streets,Easttown Streets,Easttown Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"money, common items"
Police Station,Easttown,Location,Easttown Streets,Easttown Streets,Easttown Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,"common items, clues"
Jail Cell,Easttown,Location,Police Station,null,null,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,null
Velma's Diner,Easttown,Location,Easttown Streets,Easttown Streets,Easttown Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,"money, stamina"
